,input_1,block1_conv1,block1_conv2,block1_pool,block2_conv1,block2_conv2,block2_pool,block3_conv1,block3_conv2,block3_conv3,block3_pool,block4_conv1,block4_conv2,block4_conv3,block4_pool,block5_conv1,block5_conv2,block5_conv3,block5_pool
0,18.0,148.0,147.0,119.0,26.0,92.0,76.0,94.0,107.0,89.0,72.0,51,48,52,38,50,28,24,15
1,18.0,12.0,141.0,122.0,125.0,152.0,128.0,85.0,89.0,84.0,65.0,117,97,57,43,23,36,23,15
2,20.0,90.0,9.0,9.0,87.0,153.0,124.0,150.0,116.0,145.0,115.0,85,65,71,48,39,25,20,14
3,,143.0,18.0,19.0,110.0,130.0,111.0,51.0,102.0,55.0,46.0,75,88,69,48,33,27,19,13
4,,152.0,9.0,8.0,162.0,126.0,108.0,80.0,138.0,81.0,68.0,23,123,56,37,42,31,24,14
5,,11.0,151.0,124.0,174.0,149.0,121.0,87.0,118.0,56.0,52.0,33,92,75,48,29,25,22,14
6,,142.0,144.0,117.0,73.0,132.0,114.0,86.0,104.0,102.0,79.0,84,14,79,51,44,38,23,14
7,,132.0,19.0,21.0,175.0,172.0,148.0,138.0,108.0,64.0,51.0,90,58,84,55,29,19,20,13
8,,10.0,92.0,80.0,153.0,169.0,145.0,96.0,76.0,97.0,72.0,66,71,15,16,22,26,19,14
9,,72.0,121.0,108.0,150.0,135.0,112.0,66.0,111.0,69.0,52.0,29,64,65,44,37,19,23,15
10,,142.0,137.0,109.0,134.0,117.0,65.0,125.0,139.0,121.0,93.0,51,52,66,47,29,30,28,18
11,,131.0,84.0,76.0,149.0,103.0,84.0,75.0,146.0,82.0,65.0,78,62,81,48,26,27,15,11
12,,10.0,162.0,139.0,111.0,144.0,115.0,112.0,72.0,96.0,64.0,73,106,55,42,43,33,24,16
13,,92.0,145.0,121.0,126.0,107.0,87.0,69.0,93.0,134.0,105.0,93,57,88,59,44,29,14,13
14,,124.0,72.0,66.0,154.0,155.0,104.0,102.0,131.0,104.0,80.0,86,69,62,44,37,38,23,14
15,,13.0,18.0,19.0,163.0,148.0,120.0,116.0,131.0,144.0,110.0,62,88,76,50,52,33,30,18
16,,12.0,102.0,90.0,179.0,167.0,132.0,104.0,92.0,106.0,80.0,60,90,87,55,45,25,14,10
17,,145.0,125.0,109.0,156.0,123.0,97.0,129.0,109.0,133.0,96.0,65,64,91,56,31,33,20,13
18,,12.0,8.0,8.0,173.0,164.0,141.0,97.0,136.0,81.0,59.0,105,52,35,28,27,39,19,12
19,,11.0,147.0,116.0,171.0,156.0,103.0,136.0,106.0,88.0,69.0,92,76,94,57,31,22,28,17
20,,122.0,124.0,103.0,136.0,102.0,81.0,174.0,78.0,117.0,94.0,44,18,100,63,38,32,19,14
21,,147.0,156.0,135.0,161.0,142.0,117.0,123.0,130.0,26.0,22.0,36,44,83,52,48,27,19,13
22,,11.0,87.0,79.0,125.0,165.0,136.0,69.0,126.0,133.0,101.0,32,75,69,42,29,26,25,16
23,,144.0,26.0,32.0,173.0,107.0,85.0,92.0,99.0,95.0,70.0,76,54,58,40,51,32,26,16
24,,99.0,12.0,11.0,168.0,148.0,118.0,43.0,52.0,108.0,76.0,71,74,66,43,53,24,28,17
25,,10.0,7.0,7.0,145.0,163.0,141.0,43.0,81.0,126.0,103.0,97,47,98,62,47,26,17,12
26,,136.0,123.0,108.0,114.0,133.0,107.0,136.0,95.0,119.0,94.0,59,82,89,59,35,32,26,16
27,,13.0,10.0,10.0,90.0,82.0,58.0,78.0,82.0,148.0,117.0,67,77,65,43,34,33,23,15
28,,147.0,151.0,128.0,94.0,160.0,118.0,109.0,108.0,137.0,105.0,67,90,55,37,38,40,27,16
29,,12.0,140.0,117.0,151.0,112.0,95.0,168.0,146.0,112.0,89.0,80,95,73,46,22,18,29,17
30,,143.0,137.0,110.0,155.0,130.0,112.0,124.0,110.0,119.0,95.0,95,69,65,46,44,33,23,15
31,,6.0,16.0,16.0,83.0,142.0,118.0,118.0,100.0,81.0,62.0,45,60,35,27,48,39,17,12
32,,17.0,145.0,127.0,110.0,34.0,37.0,101.0,107.0,14.0,13.0,55,70,51,35,40,27,28,16
