,correlation,pvalue
pca_values_input_1.csv,0.9362275230980146,0.0
pca_values_block1_conv1.csv,0.3065639851073828,1.86715857359647e-19
pca_values_block1_conv2.csv,0.20573674587022037,2.350204694288094e-09
pca_values_block1_pool.csv,0.18309602543536654,1.1433670158844524e-07
pca_values_block2_conv1.csv,0.17942772740866844,2.054714059373621e-07
pca_values_block2_conv2.csv,0.06537464492142965,0.06021919100505655
pca_values_block2_pool.csv,0.16360728319212908,2.2480509360379107e-06
pca_values_block3_conv1.csv,0.11328625676189358,0.0011007425319383977
pca_values_block3_conv2.csv,0.07272490918982485,0.03652802566672135
pca_values_block3_conv3.csv,0.13167073821023015,0.00014624964179764909
pca_values_block3_pool.csv,0.18502632133003422,8.35888327803236e-08
pca_values_block4_conv1.csv,0.11351670959838604,0.0010750681624550494
pca_values_block4_conv2.csv,0.20059121373663027,5.918607444026801e-09
pca_values_block4_conv3.csv,0.6155001405538795,2.237744628745351e-87
pca_values_block4_pool.csv,0.26708503804407807,5.6536241354560616e-15
pca_values_block5_conv1.csv,0.2452449433496513,8.584550870672776e-13
pca_values_block5_conv2.csv,0.35846510574716917,1.7640501283083998e-26
pca_values_block5_conv3.csv,0.9212875987830168,0.0
pca_values_block5_pool.csv,0.8872288395371757,2.017122535016392e-279
pca_values_flatten.csv,0.9094368887881392,1.26056186e-316
pca_values_fc1.csv,0.17140922909932724,7.100051307147868e-07
pca_values_fc2.csv,0.8356218545028721,7.372329073311894e-217
