,correlation,pvalue
pca_values_input_1.csv,0.4221719457013574,0.0020298400539562247
pca_values_block1_conv1.csv,0.5741176470588236,1.0585747092153288e-05
pca_values_block1_conv2.csv,0.4737556561085972,0.00044553058453173836
pca_values_block1_pool.csv,0.47945701357466064,0.00037115542985600433
pca_values_block2_conv1.csv,0.3662443438914027,0.008212658192457988
pca_values_block2_conv2.csv,-0.023213194874603462,0.8715520964386775
pca_values_block2_pool.csv,0.4534841628959276,0.0008318084967629063
pca_values_block3_conv1.csv,0.48787330316742084,0.00028177826164733254
pca_values_block3_conv2.csv,0.5491402714932127,3.0078100309532127e-05
pca_values_block3_conv3.csv,0.5319457013574661,5.8886495180686337e-05
pca_values_block3_pool.csv,0.39819004524886875,0.003805257464355742
pca_values_block4_conv1.csv,0.42461538461538456,0.0018990174264813932
pca_values_block4_conv2.csv,0.17719857919872745,0.21351768410799238
pca_values_block4_conv3.csv,0.363076923076923,0.008828262142982596
pca_values_block4_pool.csv,0.6231674208144796,1.0399661439537664e-06
pca_values_block5_conv1.csv,0.5637104072398189,1.6525669351864322e-05
pca_values_block5_conv2.csv,0.4077828054298643,0.0029756498769329493
pca_values_block5_conv3.csv,0.31393665158371037,0.024869367768585223
pca_values_block5_pool.csv,0.44642533936651574,0.0010246945219955044
pca_values_flatten.csv,0.28769230769230764,0.04064815325187354
pca_values_fc1.csv,0.4976470588235294,0.00020278267362470556
pca_values_fc2.csv,0.5170135746606335,0.00010253494664054857
