,0
0,-0.5840767522963628
1,-0.4423608520416567
2,-0.6253896396428749
3,-0.5837527775808964
4,-0.6376636383149697
5,-0.29440492488443787
6,-0.31412899051268034
7,1.9187751401934
8,1.9187706326651774
9,-0.6465492258033281
10,-0.6214108638019754
11,-0.5710935603959711
12,-0.6330485630328471
13,-0.28700492908280406
14,-0.6059153264047205
15,1.9220962394442773
16,-0.5227149933333883
17,-0.5267612886463907
18,-0.41303770814614327
19,-0.48484101655769934
20,-0.591192617777475
21,-0.29373753861663676
22,1.9187706142700487
23,-0.5659182863570524
24,-0.41895818444424404
25,1.9185202029406931
26,-0.2748777603312142
27,-0.49677673803215655
28,-0.4053455191447713
29,2.032044444007714
30,-0.5374051222480057
31,-0.6045564453128633
32,-0.4013479473601493
33,-0.45053036570132704
34,-0.6377767181547136
35,-0.5659078530693961
36,-0.34025769741031237
37,1.918582957528802
38,-0.6253344316814163
39,2.031712020659968
40,-0.40822260926243875
41,1.916771313298603
42,-0.5829926772433207
43,-0.35171325475473464
44,-0.5457092499915159
45,-0.4654012119412153
46,-0.2852723627502128
47,-0.6325656097727667
48,-0.3340571543480554
49,-0.28767739539176224
50,-0.6298449092028262
51,-0.6450930134756333
