,correlation,pvalue
pca_values_input_1.csv,0.1395291090684954,3.042796598757711e-08
pca_values_block1_conv1.csv,0.21733568284871158,3.639886059126736e-18
pca_values_block1_conv2.csv,0.19914543830906867,1.9170162210281717e-15
pca_values_block1_pool.csv,0.16500598139446665,5.2631331084931606e-11
pca_values_block2_conv1.csv,0.14677413123605748,5.554690286388756e-09
pca_values_block2_conv2.csv,0.24372609445918936,1.4311584916027043e-22
pca_values_block2_pool.csv,0.14934990927125913,2.9726977853831412e-09
pca_values_block3_conv1.csv,0.25442477834585636,1.6266801178037399e-24
pca_values_block3_conv2.csv,0.22937304064922617,4.1665103111513795e-20
pca_values_block3_conv3.csv,0.22522411377030982,2.0029466656586806e-19
pca_values_block3_pool.csv,0.23046367184611674,2.743314091146653e-20
pca_values_block4_conv1.csv,0.20600092431953768,1.9345613654162077e-16
pca_values_block4_conv2.csv,0.22018035909586126,1.295694616274046e-18
pca_values_block4_conv3.csv,0.2695150868591906,2.0372490100867775e-27
pca_values_block4_pool.csv,0.21321727468137613,1.5828734201281495e-17
pca_values_block5_conv1.csv,0.1959291238162329,5.466284494186828e-15
pca_values_block5_conv2.csv,0.24028536512138274,5.772353148013031e-22
pca_values_block5_conv3.csv,0.4199390004605203,8.28672164175215e-68
pca_values_block5_pool.csv,0.23511392279947047,4.506714684268523e-21
pca_values_flatten.csv,0.24472846009441773,9.49408448562044e-23
pca_values_fc1.csv,0.1625360867082636,1.0216289194292855e-10
pca_values_fc2.csv,0.09590126356103068,0.00014636441659950564
