,input_1,block1_conv1,block1_conv2,block1_pool,block2_conv1,block2_conv2,block2_pool,block3_conv1,block3_conv2,block3_conv3,block3_pool,block4_conv1,block4_conv2,block4_conv3,block4_pool,block5_conv1,block5_conv2,block5_conv3,block5_pool,flatten,fc1,fc2
0,-150.0019028474813,-1421.4894835715209,-1394.5120356668363,-1060.0059224828565,-1367.5853139339008,-1582.901016118509,-1162.395347806787,-1274.9217777254787,-1267.6829637691835,-1458.774556798972,-1089.7394553802808,-1188.258266613034,-1218.2650798225745,-1384.8988833959588,-1091.8308528609882,-1091.3120086277306,-983.6863687280578,-1148.9760175664803,-947.8038399456142,-870.5649549554249,-509.2633262757796,-447.34846485756776
1,-145.29225215932595,-1504.2268120186677,-1434.7841034500832,-1082.6717081188012,-1405.007309523895,-1615.5450147973995,-1183.390064032828,-1301.5134888022521,-1288.7665981947264,-1469.6143304837653,-1099.5984678110285,-1200.0763021795235,-1218.38538210736,-1355.217220664215,-1054.3950346686572,-1079.417604571797,-981.8499058592669,-800.2471630420539,-673.684237940384,-736.4549875318964,-355.8723891451266,-316.6464492655197
2,-131.0947635396066,-1395.600478157372,-1360.4383167912015,-1046.695681827707,-1358.0995451280282,-1600.8985739226853,-1183.4199767163736,-1287.0509086968152,-1266.4940964113596,-1437.2287655000202,-1103.7439932436725,-1159.8352618728711,-1215.3335724215624,-1472.283350681243,-1185.9411400785875,-1173.4464638224006,-974.0838804224633,-1168.2209232766934,-1022.3595957384122,-894.9887579142119,-304.82355959897507,-275.31036836918616
3,-140.5708294560877,-1511.4760815172208,-1438.820292810751,-1092.017645148217,-1422.1843006790432,-1645.3835715922862,-1209.7698162033603,-1329.615828451536,-1305.0544282768215,-1572.44023489895,-1165.4897983791654,-1250.9456770879697,-1240.0602107654183,-1337.8131615170882,-1074.9735264301007,-1028.312554297565,-885.5600637552384,-768.6534138813993,-636.1853017534405,-432.55922794774705,-366.7109385766773,-301.9531289485806
4,-127.9452880466103,-1345.3853223981944,-1280.6745035073952,-976.7390062545544,-1262.2497526051384,-1545.7785885631195,-1076.9368455084843,-1176.065028216478,-1156.2299110360243,-1330.8376253016684,-987.8581527165522,-1101.2165727690724,-1103.5936900120348,-1182.8703040663227,-949.4977496054481,-929.1341288660611,-866.6983291842021,-769.666247659389,-638.5556704631729,-440.17167220431924,-293.8979633683956,-285.18794439214105
5,-153.3809203860883,-1660.7871551907779,-1544.7729010801108,-1158.1269093356177,-1493.3937542290414,-1759.2112516171621,-1258.702612983438,-1382.8132330001306,-1402.7877324671492,-1654.4706260412577,-1213.2516762197058,-1365.7555557470835,-1413.9341718241126,-1625.459207291413,-1237.8668068630218,-1260.628911401093,-1014.9378055798916,-1145.1001897672736,-878.8954989145716,-846.2043621863775,-419.77409194284763,-383.1346376221939
6,-149.82663305630913,-1540.3221345871873,-1456.0404953318175,-1104.204000368985,-1436.2693837084678,-1650.600517315937,-1203.888029117462,-1339.4178015691357,-1299.7678662344254,-1505.926432710499,-1119.1176489542256,-1221.2453625449348,-1233.6231039195866,-1439.5591718159912,-1142.9103329256234,-1069.8131691096485,-930.2648002971079,-1059.8331547468777,-880.5946512202131,-846.508901451942,-354.33260321174777,-349.6235717878285
7,-174.51835077700957,-1746.1201527895332,-1601.9384990920878,-1327.4001855249196,-1568.6702114410068,-1693.577355778544,-1394.1001074081692,-1441.4491222306308,-1408.4185137672664,-1574.2161940463282,-1215.4750204898,-1240.471058590864,-1332.8735234639732,-1170.8563660714722,-1211.1560264271582,-1080.6993782224667,-773.6343086846178,-1176.4496085785377,-1043.316074774943,-897.0452610291633,-457.17223329171384,-416.05272756210184
8,-159.216556916566,-1657.1614480723465,-1550.3655635164894,-1160.7343494383827,-1489.9098353007923,-1778.8172439676605,-1285.7019729449235,-1378.0835711738614,-1331.87788314574,-1596.2791362016562,-1183.0165961612333,-1287.774856837149,-1285.6860604965066,-1544.798942093138,-1205.699878709719,-1178.210878223378,-1032.343268763126,-772.6820912836988,-641.0634236311969,-462.0618611267809,-327.2648665041682,-290.5346095480204
9,-139.9664202911801,-1471.9501619788061,-1423.8104513758776,-1074.3993209075807,-1396.0630296417812,-1620.639593378144,-1186.5082326407978,-1284.7192359151147,-1265.4421496224998,-1432.0866914155638,-1084.8757792594092,-1163.963500776445,-1191.2271281071983,-1276.794280988831,-1038.279876502319,-1026.2750829650136,-900.302621068392,-774.4600320459266,-645.9223302843279,-511.0192691349819,-328.3305124801652,-295.35539857756174
