,input_1,block1_conv1,block1_conv2,block1_pool,block2_conv1,block2_conv2,block2_pool,block3_conv1,block3_conv2,block3_conv3,block3_pool,block4_conv1,block4_conv2,block4_conv3,block4_pool,block5_conv1,block5_conv2,block5_conv3,block5_pool
0,36.0,314.0,344.0,284.0,117.0,146.0,117.0,163.0,161.0,167.0,111.0,79,77,99,54,55,41,5,5
1,33.0,43.0,260.0,222.0,259.0,252.0,187.0,161.0,147.0,100.0,77.0,128,114,91,51,40,31,15,9
2,32.0,163.0,45.0,43.0,197.0,301.0,220.0,304.0,157.0,219.0,149.0,98,97,120,67,44,36,11,9
3,,333.0,131.0,101.0,142.0,207.0,163.0,120.0,156.0,163.0,116.0,98,134,115,58,50,42,11,9
4,,322.0,32.0,30.0,272.0,157.0,125.0,165.0,142.0,154.0,101.0,90,146,60,36,64,34,16,13
5,,49.0,315.0,263.0,252.0,286.0,215.0,175.0,139.0,155.0,118.0,59,81,88,53,41,9,20,15
6,,297.0,316.0,258.0,177.0,146.0,124.0,195.0,152.0,148.0,106.0,79,61,89,50,36,46,18,13
7,,320.0,118.0,103.0,259.0,278.0,221.0,184.0,139.0,148.0,107.0,130,88,112,63,58,32,14,9
8,,40.0,272.0,213.0,298.0,258.0,201.0,179.0,181.0,193.0,130.0,96,75,79,52,39,25,22,15
9,,233.0,205.0,176.0,190.0,294.0,220.0,191.0,193.0,121.0,92.0,73,126,94,54,52,20,9,6
10,,339.0,341.0,274.0,222.0,301.0,178.0,177.0,186.0,165.0,110.0,76,72,107,61,41,26,18,12
11,,329.0,275.0,203.0,218.0,151.0,119.0,173.0,203.0,157.0,116.0,100,83,105,64,32,26,13,10
12,,85.0,269.0,233.0,149.0,284.0,202.0,179.0,148.0,204.0,128.0,142,131,90,51,45,33,34,20
13,,245.0,277.0,240.0,198.0,157.0,124.0,152.0,167.0,182.0,121.0,102,98,111,65,51,30,6,6
14,,260.0,136.0,116.0,280.0,322.0,236.0,183.0,145.0,179.0,123.0,128,110,104,56,46,31,24,14
15,,113.0,145.0,108.0,239.0,291.0,205.0,175.0,170.0,233.0,146.0,108,122,93,56,50,42,16,12
16,,31.0,279.0,223.0,261.0,329.0,250.0,126.0,150.0,193.0,125.0,136,117,114,63,58,26,12,10
17,,352.0,258.0,224.0,247.0,297.0,213.0,203.0,164.0,220.0,147.0,111,103,99,59,36,36,4,4
18,,54.0,37.0,36.0,251.0,280.0,219.0,174.0,235.0,153.0,105.0,95,93,67,42,43,33,4,4
19,,40.0,347.0,258.0,263.0,328.0,230.0,155.0,137.0,126.0,95.0,95,91,101,59,56,30,22,12
20,,275.0,334.0,275.0,264.0,165.0,133.0,184.0,133.0,218.0,140.0,87,65,146,78,35,33,17,10
21,,362.0,296.0,245.0,222.0,275.0,212.0,209.0,184.0,81.0,71.0,85,72,73,49,53,31,32,18
22,,54.0,249.0,200.0,276.0,254.0,190.0,194.0,169.0,239.0,158.0,107,110,99,58,51,34,13,10
23,,285.0,154.0,134.0,260.0,161.0,133.0,163.0,215.0,205.0,127.0,87,63,107,57,29,30,23,13
24,,237.0,62.0,51.0,249.0,290.0,207.0,119.0,152.0,203.0,130.0,119,128,93,56,70,25,20,13
25,,40.0,29.0,28.0,258.0,266.0,211.0,200.0,151.0,193.0,138.0,98,79,130,71,53,43,21,14
26,,327.0,260.0,218.0,237.0,323.0,237.0,171.0,180.0,215.0,139.0,98,113,114,66,30,30,13,7
27,,79.0,40.0,38.0,190.0,198.0,139.0,91.0,96.0,183.0,120.0,98,86,75,49,43,34,13,9
28,,311.0,272.0,234.0,237.0,298.0,213.0,176.0,128.0,173.0,119.0,99,116,85,51,49,38,39,19
29,,51.0,320.0,258.0,306.0,167.0,130.0,207.0,167.0,172.0,111.0,102,94,76,49,48,22,17,13
30,,301.0,340.0,270.0,262.0,225.0,180.0,161.0,156.0,139.0,104.0,96,100,101,57,54,28,19,14
31,,29.0,44.0,40.0,166.0,238.0,186.0,136.0,130.0,77.0,61.0,85,103,60,37,53,47,10,9
32,,34.0,268.0,228.0,143.0,176.0,148.0,152.0,135.0,136.0,106.0,79,92,89,54,48,22,30,16
33,,224.0,269.0,229.0,272.0,194.0,158.0,140.0,134.0,227.0,140.0,102,125,86,49,48,31,33,18
34,,322.0,113.0,118.0,271.0,323.0,241.0,146.0,179.0,181.0,128.0,94,93,102,57,51,49,13,9
35,,296.0,346.0,274.0,177.0,188.0,147.0,183.0,131.0,232.0,150.0,87,76,95,55,46,33,7,6
36,,49.0,322.0,245.0,262.0,222.0,175.0,96.0,221.0,201.0,130.0,103,115,80,46,53,45,23,15
37,,330.0,268.0,243.0,293.0,301.0,215.0,132.0,157.0,268.0,160.0,122,83,100,61,43,25,23,14
38,,286.0,61.0,53.0,178.0,159.0,133.0,168.0,174.0,164.0,121.0,107,83,121,63,47,37,17,12
39,,48.0,62.0,55.0,160.0,218.0,170.0,126.0,126.0,209.0,142.0,127,87,93,55,68,22,13,9
