,input_1,block1_conv1,block1_conv2,block1_pool,block2_conv1,block2_conv2,block2_pool,block3_conv1,block3_conv2,block3_conv3,block3_pool,block4_conv1,block4_conv2,block4_conv3,block4_pool,block5_conv1,block5_conv2,block5_conv3,block5_pool
0,12.0,27.0,29.0,27.0,22.0,28.0,25.0,23.0,30.0,32.0,29.0,21,21,22,18,20,17,1,1
1,12.0,9.0,25.0,24.0,26.0,34.0,30.0,22.0,25.0,22.0,20.0,24,26,25,21,14,16,5,4
2,12.0,21.0,11.0,11.0,28.0,35.0,31.0,37.0,24.0,34.0,30.0,24,24,28,22,13,15,3,3
3,,28.0,19.0,18.0,22.0,25.0,23.0,23.0,25.0,29.0,25.0,22,28,26,23,18,18,4,4
4,,28.0,12.0,11.0,28.0,30.0,29.0,30.0,27.0,31.0,28.0,22,30,11,10,19,14,4,3
5,,19.0,27.0,26.0,26.0,33.0,27.0,24.0,23.0,23.0,22.0,18,22,23,19,15,4,6,6
6,,26.0,28.0,27.0,25.0,22.0,21.0,25.0,26.0,28.0,23.0,25,15,25,19,14,17,4,3
7,,36.0,23.0,22.0,26.0,31.0,26.0,26.0,26.0,31.0,27.0,26,23,25,20,20,18,4,4
8,,18.0,34.0,32.0,27.0,27.0,25.0,24.0,28.0,32.0,27.0,21,18,17,16,17,15,7,6
9,,21.0,23.0,22.0,24.0,36.0,32.0,30.0,31.0,25.0,22.0,17,26,25,22,16,8,5,3
10,,29.0,29.0,27.0,26.0,33.0,27.0,26.0,28.0,32.0,29.0,25,15,24,19,17,15,8,7
11,,36.0,25.0,22.0,25.0,23.0,21.0,26.0,28.0,21.0,20.0,25,20,24,20,11,5,2,4
12,,11.0,26.0,25.0,22.0,35.0,29.0,25.0,26.0,34.0,29.0,25,28,20,18,18,13,12,10
13,,22.0,26.0,25.0,31.0,24.0,22.0,23.0,26.0,31.0,26.0,22,25,26,21,19,13,2,2
14,,32.0,29.0,27.0,27.0,31.0,27.0,25.0,31.0,29.0,24.0,25,25,23,19,20,7,7,6
15,,16.0,20.0,19.0,26.0,36.0,32.0,24.0,31.0,35.0,30.0,27,29,23,19,20,16,4,3
16,,12.0,35.0,33.0,26.0,33.0,27.0,22.0,30.0,35.0,31.0,29,25,24,22,19,8,2,2
17,,38.0,25.0,23.0,26.0,35.0,32.0,29.0,25.0,28.0,24.0,24,26,22,19,10,17,2,1
18,,16.0,11.0,11.0,27.0,32.0,27.0,28.0,29.0,29.0,25.0,25,22,19,16,14,11,1,1
19,,18.0,32.0,27.0,27.0,31.0,26.0,30.0,26.0,30.0,26.0,21,25,24,20,18,10,16,12
20,,24.0,31.0,27.0,27.0,24.0,23.0,26.0,25.0,32.0,29.0,20,20,24,20,18,11,5,4
21,,38.0,27.0,25.0,25.0,31.0,26.0,33.0,26.0,18.0,18.0,26,20,18,15,20,11,14,12
22,,11.0,34.0,32.0,35.0,33.0,28.0,24.0,26.0,30.0,26.0,24,27,22,20,22,13,4,4
23,,25.0,21.0,20.0,27.0,22.0,21.0,24.0,32.0,32.0,28.0,17,16,26,19,12,18,11,8
24,,21.0,12.0,11.0,26.0,36.0,32.0,23.0,28.0,29.0,25.0,23,21,25,21,22,12,7,5
25,,9.0,11.0,11.0,27.0,33.0,28.0,26.0,29.0,31.0,28.0,25,17,26,22,18,12,5,5
26,,35.0,26.0,25.0,27.0,37.0,33.0,25.0,26.0,33.0,30.0,22,27,22,19,10,9,5,4
27,,22.0,13.0,12.0,31.0,31.0,27.0,21.0,25.0,31.0,27.0,25,25,19,16,15,11,5,5
28,,35.0,27.0,25.0,33.0,31.0,26.0,31.0,26.0,31.0,26.0,21,22,19,15,21,12,15,11
29,,21.0,31.0,27.0,28.0,31.0,28.0,26.0,26.0,33.0,30.0,23,23,21,17,18,9,3,3
30,,26.0,32.0,27.0,27.0,26.0,24.0,24.0,25.0,26.0,23.0,25,25,24,19,20,14,2,3
31,,11.0,13.0,13.0,28.0,27.0,24.0,29.0,28.0,19.0,18.0,18,23,21,17,20,16,3,2
32,,20.0,26.0,25.0,23.0,26.0,25.0,29.0,25.0,23.0,21.0,16,27,23,19,15,7,12,10
33,,24.0,26.0,25.0,27.0,24.0,23.0,30.0,28.0,34.0,30.0,23,23,25,21,16,15,12,9
34,,26.0,19.0,19.0,35.0,32.0,27.0,23.0,25.0,28.0,24.0,26,26,26,21,18,17,8,6
35,,27.0,29.0,27.0,29.0,25.0,23.0,25.0,23.0,35.0,31.0,22,22,24,20,19,10,1,1
36,,17.0,36.0,34.0,27.0,27.0,25.0,25.0,32.0,33.0,29.0,22,27,20,18,21,15,8,7
37,,27.0,25.0,25.0,28.0,31.0,26.0,22.0,30.0,37.0,32.0,30,26,19,17,11,7,9,7
38,,25.0,23.0,23.0,23.0,24.0,23.0,25.0,25.0,28.0,24.0,26,24,24,19,16,15,1,2
39,,19.0,23.0,22.0,29.0,32.0,30.0,25.0,23.0,32.0,28.0,26,22,25,20,21,8,3,3
40,,34.0,26.0,25.0,27.0,21.0,20.0,21.0,24.0,34.0,30.0,25,18,31,27,18,12,17,13
41,,27.0,24.0,24.0,25.0,29.0,26.0,25.0,26.0,30.0,26.0,28,25,25,20,10,15,5,5
42,,27.0,15.0,14.0,27.0,34.0,28.0,22.0,26.0,32.0,28.0,22,22,23,19,15,8,12,9
43,,33.0,29.0,27.0,19.0,23.0,21.0,26.0,26.0,22.0,22.0,26,24,24,20,18,13,3,3
44,,25.0,26.0,25.0,27.0,36.0,33.0,23.0,27.0,33.0,29.0,21,24,25,20,22,4,2,2
45,,30.0,10.0,10.0,27.0,22.0,21.0,22.0,23.0,32.0,28.0,18,22,24,20,23,8,8,6
46,,35.0,25.0,24.0,27.0,31.0,30.0,23.0,28.0,25.0,22.0,23,21,13,13,16,10,6,5
47,,30.0,24.0,23.0,28.0,37.0,31.0,28.0,23.0,30.0,28.0,28,23,13,12,20,15,9,6
48,,36.0,37.0,34.0,25.0,30.0,27.0,25.0,24.0,34.0,30.0,22,25,20,17,20,17,5,5
49,,24.0,12.0,12.0,31.0,35.0,32.0,22.0,24.0,33.0,29.0,27,23,9,9,21,13,3,3
50,,10.0,28.0,27.0,18.0,32.0,28.0,24.0,23.0,28.0,25.0,24,21,21,19,19,17,7,5
51,,27.0,22.0,22.0,19.0,32.0,27.0,27.0,24.0,31.0,28.0,26,26,21,17,18,7,4,5
52,,34.0,13.0,14.0,24.0,29.0,27.0,25.0,32.0,33.0,29.0,27,26,25,21,17,17,2,2
53,,35.0,27.0,25.0,16.0,26.0,24.0,26.0,25.0,29.0,25.0,26,24,21,16,19,15,8,5
54,,25.0,19.0,18.0,33.0,33.0,28.0,25.0,28.0,32.0,28.0,20,23,24,19,21,12,6,6
55,,22.0,28.0,26.0,26.0,37.0,33.0,29.0,23.0,24.0,23.0,23,24,26,22,21,14,9,6
