,input_1,block1_conv1,block1_conv2,block1_pool,block2_conv1,block2_conv2,block2_pool,block3_conv1,block3_conv2,block3_conv3,block3_pool,block4_conv1,block4_conv2,block4_conv3,block4_pool,block5_conv1,block5_conv2,block5_conv3,block5_pool,flatten,fc1,fc2
0,-158.77396263292198,-1432.851680247257,-1394.4940452637522,-1060.0502311859477,-1365.8731672142972,-1543.6821352902664,-1160.1438030747663,-1282.440057550338,-1266.8883397638879,-1458.5248536527995,-1112.9727253301703,-1185.329644763519,-1218.2639767499877,-1379.2010035624078,-1073.0626793321287,-1094.1306906637062,-980.0214912078284,-1028.8093063442916,-871.5160666199945,-871.5788682343378,-503.24904748800157,-451.2898463007667
1,-169.6400312241568,-1505.803204752761,-1434.7749532090409,-1082.5803072807157,-1404.8294450208957,-1621.2653864775104,-1182.4996320822559,-1296.8805372427514,-1288.71574899202,-1469.4043588350892,-1109.0524617906394,-1190.208528254781,-1218.3835956036003,-1350.0686721169625,-1048.4964489271474,-1083.1875828898021,-973.3404288497773,-874.1205163473818,-736.4544762459892,-736.4544490646176,-356.29205093841176,-309.2890151411194
2,-147.9611095016992,-1390.2694332023523,-1360.442544968246,-1046.9224850490393,-1358.6912374328838,-1583.2368906261001,-1182.1096994824884,-1295.813297640701,-1265.6663777777214,-1437.3763164374209,-1116.8762888139445,-1166.0178462449137,-1215.3304268141383,-1461.5675441233298,-1156.8870789708376,-1166.9231982589993,-970.6914004156705,-1032.4860807142768,-895.7534807338895,-896.6064170548503,-303.1657817463025,-276.97187495363954
3,-153.71610381321983,-1508.6710949417695,-1438.8047071928697,-1091.9175635342126,-1422.2201533579448,-1687.9893132118505,-1209.3303448562976,-1326.8769066605869,-1305.1743452188384,-1577.711982308958,-1159.2153912009217,-1224.8465586236168,-1240.0609644804458,-1332.7514930997386,-1058.1254617865932,-1043.2015562572287,-889.8519003469313,-522.3195095275566,-432.5593603879356,-432.55936750856944,-369.7814482285269,-308.43363363421594
4,-145.24519257372734,-1320.0558006020904,-1280.6679707861983,-976.9321190431417,-1262.1477237675072,-1468.5674154503597,-1076.0190544068546,-1182.0534623684061,-1155.0607499993266,-1330.9288306537937,-998.1289876420722,-1081.7046796590432,-1103.590271671872,-1187.5434182951649,-925.7166586764729,-931.449329161013,-868.765949356298,-520.9547608274014,-440.1718468834131,-440.1718556155626,-290.28523754138706,-275.8728402658088
5,-174.4096079184813,-1590.3204142570692,-1544.7513511973082,-1158.1649683609148,-1495.450250576926,-1745.1560621108163,-1260.6972258155813,-1396.2794104590375,-1397.4669641155178,-1659.7847662421161,-1222.9663715306376,-1353.916918328011,-1414.1722060553489,-1638.2159344764289,-1257.7172029170217,-1285.5054826383862,-1010.8960783436524,-1031.1066820809851,-846.7206663542627,-846.8549040882666,-396.6207908535962,-387.15564806375045
6,-160.94764521929247,-1519.026201432084,-1456.0097707681982,-1104.0558710747866,-1436.2110570112768,-1691.7543056624793,-1203.7945413730483,-1340.0939386001544,-1299.2316355770317,-1505.4834228705415,-1133.122803791984,-1204.2326852260846,-1233.6225987657579,-1429.9519310222117,-1097.4796117545056,-1077.3500906307481,-944.4058208087565,-1003.4904082756033,-847.1442841763537,-847.3364693876601,-363.6145033460915,-353.26164720045136
7,-249.9738891203659,-1732.1996692452144,-1601.938268409628,-1303.7470536644928,-1545.6226134464675,-1695.0144145436068,-1354.75224486853,-1427.617261733342,-1437.8071041213618,-1580.4931713023034,-1184.2288852046051,-1242.8478288112801,-1332.1654659783615,-1377.2809895699552,-1150.1426360926753,-1151.400766613676,-1064.5194460305052,-1034.6758721313583,-897.1043798912352,-896.2244280076471,-459.12133886032643,-408.0110974736988
8,-169.24362150042427,-1576.2598797222818,-1550.3541507093007,-1160.598070235587,-1492.4747320735905,-1759.6119135224408,-1288.3947165650404,-1380.9056046482654,-1332.6471213337436,-1599.0341887826867,-1179.2804193903087,-1254.711548243735,-1285.681108547294,-1571.0139316479276,-1211.0445839548893,-1163.4012093539443,-1028.5881540853416,-555.8375524676745,-462.06191931975985,-462.0619222538478,-327.7907401878622,-283.47111877304195
9,-155.4524425175672,-1497.3251818854046,-1423.7926533331463,-1074.2814648883116,-1394.9745576952887,-1621.514371177324,-1184.8938133930822,-1289.318976217669,-1264.855943808418,-1432.215402466143,-1106.4121933616423,-1166.6318074613137,-1191.2221954427177,-1276.2921835433822,-1040.34328020572,-1042.3419014782087,-916.7225796621718,-592.887271645119,-511.0192749124286,-511.01927557694546,-326.95756658980906,-303.7673948139098
