,input_1,block1_conv1,block1_conv2,block1_pool,block2_conv1,block2_conv2,block2_pool,block3_conv1,block3_conv2,block3_conv3,block3_pool,block4_conv1,block4_conv2,block4_conv3,block4_pool,block5_conv1,block5_conv2,block5_conv3,block5_pool
0,81.0,810.0,796.0,679.0,130.0,352.0,277.0,467.0,372.0,356.0,228.0,105,168,150,76,75,34,37,20
1,104.0,45.0,687.0,615.0,730.0,624.0,473.0,304.0,394.0,223.0,160.0,246,168,168,86,47,44,42,21
2,136.0,517.0,49.0,46.0,489.0,733.0,561.0,590.0,382.0,433.0,273.0,174,152,184,90,63,34,31,18
3,,824.0,104.0,89.0,466.0,596.0,466.0,193.0,379.0,250.0,175.0,160,200,184,87,78,43,42,21
4,,802.0,62.0,52.0,787.0,412.0,333.0,338.0,426.0,420.0,257.0,123,275,123,65,82,52,31,17
5,,80.0,821.0,706.0,798.0,713.0,555.0,322.0,367.0,232.0,161.0,82,178,179,87,66,40,44,22
6,,789.0,864.0,761.0,392.0,431.0,353.0,372.0,420.0,366.0,238.0,187,69,134,72,55,68,36,19
7,,808.0,56.0,54.0,805.0,753.0,610.0,417.0,296.0,295.0,205.0,215,134,195,89,41,36,39,20
8,,76.0,624.0,528.0,806.0,699.0,539.0,419.0,461.0,401.0,256.0,158,121,127,78,46,43,46,22
9,,447.0,634.0,574.0,651.0,706.0,553.0,453.0,445.0,227.0,156.0,131,168,134,74,64,40,42,20
10,,821.0,809.0,692.0,656.0,733.0,434.0,450.0,460.0,374.0,239.0,166,91,142,80,45,42,45,21
11,,806.0,615.0,450.0,676.0,392.0,315.0,318.0,502.0,190.0,129.0,182,118,157,72,42,51,34,19
12,,62.0,803.0,711.0,479.0,652.0,475.0,486.0,301.0,337.0,195.0,223,196,134,71,62,62,31,18
13,,464.0,789.0,695.0,652.0,385.0,314.0,355.0,361.0,463.0,279.0,169,168,170,87,66,43,40,21
14,,762.0,364.0,301.0,807.0,814.0,618.0,373.0,328.0,435.0,273.0,227,182,138,76,61,61,34,19
15,,131.0,132.0,112.0,761.0,677.0,501.0,340.0,435.0,500.0,299.0,198,188,154,78,75,48,45,22
16,,112.0,603.0,495.0,800.0,832.0,650.0,364.0,417.0,430.0,263.0,194,183,170,83,74,50,33,18
17,,816.0,734.0,645.0,790.0,741.0,562.0,487.0,393.0,434.0,252.0,184,175,174,85,62,50,34,19
18,,80.0,55.0,53.0,766.0,714.0,547.0,379.0,584.0,237.0,147.0,193,117,109,66,50,53,30,17
19,,56.0,769.0,632.0,715.0,813.0,606.0,418.0,339.0,279.0,196.0,162,147,171,84,55,19,44,22
20,,667.0,779.0,662.0,698.0,405.0,311.0,491.0,323.0,543.0,320.0,116,69,201,98,61,49,32,18
21,,830.0,821.0,716.0,741.0,712.0,548.0,580.0,433.0,190.0,141.0,133,110,156,78,78,55,31,18
22,,61.0,496.0,428.0,700.0,651.0,494.0,406.0,401.0,385.0,233.0,112,183,161,79,67,41,43,22
23,,768.0,364.0,328.0,796.0,400.0,327.0,323.0,353.0,458.0,261.0,148,85,170,83,61,46,35,19
24,,432.0,61.0,56.0,792.0,648.0,480.0,255.0,184.0,306.0,176.0,215,184,130,70,74,34,34,19
25,,40.0,99.0,89.0,749.0,716.0,551.0,316.0,358.0,340.0,231.0,199,120,200,90,72,63,32,19
26,,809.0,742.0,657.0,653.0,711.0,536.0,472.0,403.0,420.0,248.0,142,171,227,102,60,50,52,26
27,,120.0,44.0,41.0,527.0,464.0,307.0,245.0,241.0,415.0,262.0,184,164,125,65,52,54,43,21
28,,820.0,776.0,687.0,547.0,698.0,507.0,450.0,284.0,384.0,239.0,129,155,119,63,69,53,43,21
29,,96.0,769.0,662.0,835.0,383.0,306.0,582.0,422.0,381.0,242.0,161,173,129,69,47,38,45,22
30,,800.0,810.0,692.0,782.0,619.0,492.0,436.0,353.0,320.0,217.0,190,141,146,80,61,52,26,15
31,,65.0,205.0,171.0,414.0,644.0,490.0,314.0,356.0,215.0,160.0,158,128,106,63,74,58,38,20
32,,34.0,751.0,659.0,453.0,196.0,173.0,371.0,369.0,227.0,162.0,111,155,131,72,58,53,49,23
33,,653.0,778.0,683.0,834.0,549.0,425.0,292.0,339.0,572.0,332.0,204,157,180,87,61,54,31,17
34,,818.0,633.0,581.0,635.0,762.0,563.0,425.0,458.0,378.0,240.0,166,205,162,85,59,49,40,21
35,,799.0,758.0,623.0,490.0,494.0,400.0,336.0,331.0,471.0,286.0,138,132,143,77,46,42,38,21
36,,83.0,745.0,612.0,781.0,624.0,492.0,108.0,482.0,419.0,241.0,253,174,115,66,51,58,39,20
37,,805.0,773.0,679.0,820.0,736.0,534.0,267.0,411.0,614.0,335.0,219,172,127,74,48,46,46,23
38,,715.0,83.0,63.0,592.0,399.0,326.0,468.0,392.0,244.0,164.0,182,138,240,101,55,46,34,20
39,,66.0,75.0,58.0,489.0,622.0,490.0,269.0,362.0,401.0,248.0,210,157,164,83,66,37,40,20
40,,598.0,748.0,651.0,576.0,419.0,342.0,283.0,404.0,326.0,181.0,166,111,230,103,35,53,37,19
41,,799.0,724.0,634.0,739.0,800.0,582.0,368.0,426.0,258.0,180.0,203,151,217,97,54,34,32,18
42,,799.0,56.0,54.0,789.0,719.0,551.0,363.0,343.0,428.0,269.0,76,148,167,81,25,33,47,22
43,,795.0,809.0,695.0,57.0,431.0,342.0,445.0,462.0,175.0,138.0,170,176,172,86,61,41,39,20
44,,713.0,746.0,646.0,793.0,754.0,585.0,289.0,426.0,478.0,284.0,152,165,143,74,69,33,31,18
45,,812.0,55.0,53.0,706.0,407.0,332.0,249.0,348.0,470.0,293.0,212,162,181,89,77,39,30,17
46,,732.0,785.0,700.0,791.0,279.0,183.0,257.0,423.0,317.0,199.0,195,134,114,67,53,43,41,20
47,,806.0,729.0,615.0,772.0,813.0,644.0,338.0,365.0,195.0,143.0,207,139,98,59,61,50,30,17
48,,795.0,693.0,574.0,769.0,425.0,330.0,417.0,365.0,452.0,279.0,156,195,174,86,58,50,41,20
49,,652.0,72.0,68.0,324.0,776.0,600.0,308.0,343.0,422.0,239.0,218,126,154,77,56,61,36,20
50,,54.0,802.0,692.0,381.0,415.0,305.0,361.0,441.0,401.0,269.0,168,163,189,88,60,55,33,19
51,,790.0,116.0,87.0,286.0,729.0,591.0,588.0,437.0,376.0,205.0,213,168,146,78,58,28,43,20
52,,446.0,51.0,48.0,579.0,509.0,410.0,376.0,397.0,425.0,263.0,230,143,121,72,75,45,44,22
53,,795.0,785.0,674.0,270.0,560.0,423.0,497.0,481.0,379.0,239.0,228,129,141,73,63,55,31,19
54,,778.0,139.0,122.0,627.0,848.0,671.0,485.0,301.0,365.0,226.0,99,164,166,76,78,59,36,20
55,,571.0,803.0,674.0,774.0,722.0,522.0,438.0,296.0,288.0,205.0,188,190,150,76,69,81,38,20
56,,778.0,809.0,696.0,473.0,573.0,458.0,239.0,460.0,424.0,268.0,194,162,169,86,70,53,48,23
57,,751.0,785.0,641.0,384.0,297.0,238.0,403.0,492.0,525.0,309.0,144,128,157,79,65,42,36,20
58,,791.0,753.0,659.0,612.0,659.0,514.0,246.0,271.0,298.0,188.0,147,164,187,92,59,54,35,19
59,,104.0,790.0,642.0,663.0,764.0,580.0,632.0,446.0,291.0,195.0,178,206,150,78,42,51,46,22
60,,801.0,69.0,65.0,438.0,676.0,490.0,466.0,381.0,218.0,162.0,136,166,166,84,57,59,37,20
61,,43.0,117.0,106.0,671.0,723.0,557.0,361.0,309.0,158.0,119.0,120,140,115,70,61,42,37,20
62,,804.0,815.0,704.0,621.0,688.0,529.0,275.0,327.0,380.0,231.0,197,154,190,92,70,57,42,21
63,,796.0,715.0,587.0,755.0,375.0,303.0,424.0,468.0,446.0,249.0,239,188,160,80,50,47,44,21
64,,,,,757.0,543.0,408.0,323.0,482.0,428.0,237.0,111,107,155,83,69,42,40,22
65,,,,,634.0,303.0,201.0,406.0,367.0,389.0,216.0,130,172,126,72,71,48,26,16
66,,,,,769.0,542.0,440.0,516.0,365.0,325.0,209.0,207,104,141,67,55,51,42,21
67,,,,,608.0,610.0,480.0,304.0,378.0,270.0,185.0,115,165,125,69,59,46,35,19
68,,,,,513.0,653.0,494.0,401.0,461.0,243.0,175.0,169,169,178,89,50,49,49,23
69,,,,,47.0,773.0,598.0,294.0,272.0,592.0,335.0,201,86,164,84,42,49,36,18
70,,,,,465.0,698.0,542.0,471.0,449.0,411.0,259.0,112,139,179,86,68,56,42,21
71,,,,,412.0,811.0,650.0,417.0,425.0,312.0,211.0,193,167,118,66,56,48,42,21
72,,,,,549.0,567.0,445.0,273.0,385.0,193.0,133.0,129,109,126,71,54,47,36,20
73,,,,,749.0,374.0,295.0,418.0,386.0,283.0,194.0,143,137,220,104,46,33,35,20
74,,,,,466.0,710.0,542.0,490.0,529.0,344.0,217.0,130,105,180,89,73,40,36,19
75,,,,,694.0,679.0,557.0,395.0,320.0,481.0,284.0,181,177,122,71,89,52,45,21
76,,,,,735.0,120.0,96.0,410.0,350.0,534.0,315.0,109,155,163,83,46,40,35,19
77,,,,,334.0,412.0,336.0,349.0,454.0,387.0,224.0,122,155,151,79,58,60,43,21
78,,,,,800.0,503.0,410.0,372.0,361.0,403.0,236.0,160,166,163,81,72,59,36,20
79,,,,,797.0,830.0,644.0,500.0,368.0,215.0,151.0,212,197,96,48,55,61,30,18
80,,,,,418.0,756.0,550.0,475.0,464.0,455.0,281.0,159,182,186,90,58,43,40,21
81,,,,,589.0,695.0,409.0,560.0,458.0,272.0,186.0,152,188,170,79,73,46,30,18
82,,,,,745.0,408.0,334.0,249.0,279.0,395.0,219.0,160,163,240,101,58,49,40,21
83,,,,,777.0,783.0,592.0,320.0,384.0,210.0,145.0,116,169,151,81,55,56,34,19
84,,,,,704.0,757.0,604.0,415.0,328.0,380.0,250.0,181,107,162,79,55,30,31,18
85,,,,,749.0,376.0,329.0,599.0,196.0,285.0,190.0,172,152,225,94,67,39,34,18
86,,,,,488.0,632.0,503.0,425.0,460.0,392.0,213.0,153,161,154,83,54,36,40,21
87,,,,,517.0,729.0,590.0,347.0,437.0,331.0,228.0,213,144,110,66,56,45,38,20
88,,,,,781.0,778.0,527.0,387.0,430.0,353.0,219.0,65,163,200,96,58,52,30,18
89,,,,,482.0,724.0,566.0,405.0,403.0,326.0,216.0,133,194,153,78,63,49,40,20
90,,,,,588.0,451.0,363.0,399.0,382.0,418.0,267.0,194,167,178,88,68,46,38,20
91,,,,,552.0,603.0,479.0,440.0,441.0,235.0,167.0,160,168,150,82,74,57,33,18
92,,,,,458.0,750.0,574.0,424.0,403.0,520.0,308.0,160,198,104,68,56,45,38,19
93,,,,,689.0,735.0,573.0,287.0,393.0,341.0,214.0,80,202,121,73,57,57,46,22
94,,,,,512.0,492.0,394.0,296.0,377.0,387.0,245.0,135,112,159,85,72,44,32,17
95,,,,,514.0,802.0,628.0,253.0,481.0,322.0,221.0,146,147,184,91,56,54,30,17
96,,,,,740.0,823.0,655.0,323.0,529.0,317.0,216.0,171,99,177,82,59,51,32,18
97,,,,,663.0,579.0,445.0,540.0,543.0,192.0,140.0,196,139,144,77,52,47,48,22
98,,,,,607.0,741.0,583.0,412.0,439.0,201.0,140.0,179,155,203,98,76,34,32,18
99,,,,,849.0,692.0,528.0,398.0,335.0,327.0,196.0,186,196,147,80,71,42,31,19
100,,,,,591.0,240.0,184.0,395.0,374.0,432.0,260.0,187,145,116,58,73,38,34,18
101,,,,,793.0,729.0,568.0,494.0,402.0,391.0,244.0,141,184,187,88,74,58,47,23
102,,,,,452.0,396.0,323.0,507.0,323.0,261.0,157.0,183,163,148,76,54,40,38,20
103,,,,,813.0,602.0,474.0,388.0,360.0,161.0,129.0,221,148,134,75,30,55,26,15
104,,,,,396.0,626.0,489.0,341.0,353.0,273.0,198.0,110,158,191,90,54,46,35,20
105,,,,,467.0,756.0,612.0,425.0,284.0,486.0,296.0,151,147,186,92,55,42,40,21
106,,,,,655.0,484.0,373.0,245.0,410.0,550.0,322.0,107,131,167,87,54,46,29,17
107,,,,,635.0,791.0,626.0,279.0,437.0,412.0,250.0,216,135,89,53,60,52,36,20
108,,,,,471.0,734.0,552.0,464.0,356.0,365.0,242.0,187,208,185,90,70,38,42,21
109,,,,,665.0,797.0,636.0,91.0,288.0,359.0,234.0,129,172,164,85,72,45,46,22
110,,,,,621.0,740.0,553.0,277.0,421.0,342.0,202.0,156,184,157,82,61,45,41,21
111,,,,,691.0,679.0,536.0,546.0,430.0,401.0,242.0,158,116,214,96,73,50,37,20
112,,,,,540.0,313.0,223.0,293.0,397.0,378.0,243.0,236,121,161,84,77,43,44,22
113,,,,,251.0,697.0,531.0,475.0,466.0,318.0,215.0,138,118,136,74,39,47,34,17
114,,,,,469.0,747.0,569.0,489.0,425.0,355.0,231.0,245,146,196,95,87,41,45,22
115,,,,,362.0,391.0,317.0,410.0,328.0,430.0,260.0,209,166,182,89,63,42,41,21
116,,,,,823.0,586.0,473.0,353.0,359.0,404.0,225.0,121,168,223,101,55,51,28,16
117,,,,,429.0,640.0,510.0,444.0,425.0,366.0,227.0,199,134,117,66,80,61,26,17
118,,,,,458.0,388.0,309.0,386.0,520.0,256.0,183.0,191,174,122,71,54,58,26,16
119,,,,,191.0,709.0,554.0,267.0,402.0,291.0,200.0,196,177,128,73,66,41,50,23
120,,,,,227.0,617.0,474.0,459.0,346.0,288.0,200.0,76,158,202,97,64,44,35,19
121,,,,,634.0,827.0,657.0,337.0,414.0,547.0,300.0,82,173,127,69,69,45,37,20
122,,,,,801.0,747.0,547.0,331.0,371.0,196.0,136.0,200,186,197,94,78,39,35,20
123,,,,,32.0,468.0,377.0,255.0,320.0,285.0,192.0,149,161,105,59,71,38,31,18
124,,,,,706.0,293.0,233.0,529.0,322.0,215.0,154.0,173,139,134,76,51,40,21,14
125,,,,,684.0,280.0,211.0,470.0,357.0,333.0,220.0,174,186,169,85,67,32,38,20
126,,,,,852.0,589.0,468.0,338.0,351.0,436.0,273.0,360,113,116,66,74,50,28,16
127,,,,,691.0,546.0,438.0,382.0,401.0,363.0,205.0,129,175,103,63,59,49,33,18
128,,,,,,,,392.0,351.0,346.0,229.0,144,149,164,81,52,43,35,19
129,,,,,,,,319.0,316.0,317.0,214.0,106,225,157,77,63,37,32,18
130,,,,,,,,428.0,331.0,397.0,235.0,164,145,129,75,50,37,30,18
