,correlation,pvalue
pca_values_input_1.csv,0.10353274425184658,0.020585927348555754
pca_values_block1_conv1.csv,0.16473354170870005,0.00021590574831544676
pca_values_block1_conv2.csv,0.17374612822842464,9.418725451411936e-05
pca_values_block1_pool.csv,0.1640612832040928,0.0002293017747224313
pca_values_block2_conv1.csv,0.2211374874072112,5.902765707903554e-07
pca_values_block2_conv2.csv,0.16874502100127617,0.0001500245424402529
pca_values_block2_pool.csv,0.20846547107749375,2.582399701333679e-06
pca_values_block3_conv1.csv,0.12741398094602768,0.004323085596550663
pca_values_block3_conv2.csv,0.2372891413856498,7.893600062721207e-08
pca_values_block3_conv3.csv,0.19284384845785327,1.4109498308119392e-05
pca_values_block3_pool.csv,0.38424328037097094,4.879749667472158e-19
pca_values_block4_conv1.csv,0.1462466845357619,0.0010393949470303063
pca_values_block4_conv2.csv,0.26623844096391286,1.467760059661101e-09
pca_values_block4_conv3.csv,0.2785291233145586,2.3221326277589e-10
pca_values_block4_pool.csv,0.349935795027416,7.536581931942892e-16
pca_values_block5_conv1.csv,0.3555194634291817,2.4210829641724873e-16
pca_values_block5_conv2.csv,0.28056568609618926,1.6955075436568606e-10
pca_values_block5_conv3.csv,0.3578181636703277,1.5070444721024722e-16
pca_values_block5_pool.csv,0.34710409637178036,1.3290836599117247e-15
pca_values_flatten.csv,0.34601336542978056,1.6511618921298e-15
pca_values_fc1.csv,0.24405728143220276,3.249593768393973e-08
pca_values_fc2.csv,0.2002477543651644,6.414304421855118e-06
