,input_1,block1_conv1,block1_conv2,block1_pool,block2_conv1,block2_conv2,block2_pool,block3_conv1,block3_conv2,block3_conv3,block3_pool,block4_conv1,block4_conv2,block4_conv3,block4_pool,block5_conv1,block5_conv2,block5_conv3,block5_pool
0,20.0,477.0,406.0,332.0,58.0,261.0,214.0,415.0,250.0,263.0,182.0,97,164,134,74,58,44,40,20
1,23.0,22.0,165.0,151.0,458.0,432.0,317.0,227.0,278.0,197.0,138.0,209,128,128,71,42,37,35,20
2,20.0,88.0,21.0,21.0,320.0,491.0,352.0,477.0,262.0,353.0,228.0,136,106,149,79,65,37,37,20
3,,483.0,40.0,41.0,293.0,367.0,287.0,128.0,236.0,232.0,163.0,142,157,159,79,67,43,41,21
4,,418.0,25.0,23.0,507.0,268.0,218.0,189.0,266.0,308.0,196.0,105,219,117,65,75,53,36,20
5,,27.0,476.0,401.0,441.0,513.0,378.0,192.0,234.0,155.0,111.0,92,150,154,80,60,42,44,22
6,,464.0,518.0,446.0,245.0,232.0,191.0,226.0,301.0,269.0,179.0,168,84,129,67,59,60,40,21
7,,245.0,35.0,37.0,441.0,544.0,419.0,257.0,214.0,223.0,162.0,167,110,188,88,65,35,37,21
8,,20.0,397.0,338.0,518.0,517.0,391.0,243.0,366.0,300.0,200.0,144,122,73,48,50,44,32,19
9,,94.0,253.0,239.0,361.0,489.0,371.0,241.0,267.0,204.0,144.0,111,134,102,58,54,40,46,23
10,,478.0,454.0,365.0,370.0,385.0,227.0,338.0,302.0,317.0,206.0,153,100,125,71,52,33,35,19
11,,366.0,26.0,26.0,349.0,299.0,249.0,226.0,352.0,146.0,108.0,131,126,137,69,58,47,38,21
12,,40.0,408.0,364.0,303.0,454.0,319.0,352.0,212.0,284.0,175.0,169,162,136,74,30,48,39,21
13,,117.0,451.0,389.0,347.0,305.0,254.0,243.0,287.0,372.0,232.0,134,154,131,73,55,45,43,21
14,,184.0,65.0,61.0,488.0,559.0,392.0,217.0,265.0,303.0,201.0,176,159,123,68,55,50,34,20
15,,24.0,35.0,35.0,435.0,491.0,352.0,164.0,270.0,426.0,259.0,183,139,131,68,64,43,40,21
16,,16.0,394.0,333.0,459.0,590.0,440.0,242.0,347.0,255.0,183.0,157,152,161,81,60,33,28,17
17,,439.0,453.0,390.0,428.0,535.0,402.0,321.0,266.0,349.0,215.0,151,123,148,76,50,48,47,23
18,,22.0,17.0,16.0,375.0,515.0,394.0,382.0,451.0,177.0,116.0,163,120,126,70,53,50,31,18
19,,16.0,449.0,304.0,336.0,556.0,387.0,260.0,216.0,266.0,194.0,124,128,137,72,59,46,40,21
20,,254.0,465.0,381.0,327.0,295.0,239.0,277.0,250.0,390.0,243.0,102,58,203,95,57,56,35,20
21,,464.0,442.0,388.0,393.0,502.0,377.0,450.0,272.0,137.0,104.0,115,101,120,66,70,41,37,20
22,,22.0,374.0,325.0,431.0,445.0,329.0,275.0,294.0,270.0,172.0,131,173,128,67,65,49,37,22
23,,369.0,29.0,27.0,416.0,294.0,248.0,169.0,256.0,334.0,207.0,108,112,142,75,57,52,39,21
24,,120.0,29.0,28.0,442.0,443.0,311.0,152.0,180.0,214.0,139.0,149,194,115,62,62,42,38,21
