,input_1,block1_conv1,block1_conv2,block1_pool,block2_conv1,block2_conv2,block2_pool,block3_conv1,block3_conv2,block3_conv3,block3_pool,block4_conv1,block4_conv2,block4_conv3,block4_pool,block5_conv1,block5_conv2,block5_conv3,block5_pool
0,17.0,49.0,52.0,48.0,32.0,47.0,40.0,39.0,50.0,54.0,45.0,32,32,32,25,30,24,1,1
1,16.0,13.0,44.0,41.0,46.0,60.0,52.0,38.0,41.0,33.0,29.0,39,40,35,25,19,19,5,4
2,16.0,35.0,18.0,17.0,48.0,62.0,53.0,66.0,40.0,56.0,47.0,37,37,43,31,22,20,2,2
3,,51.0,30.0,28.0,34.0,43.0,38.0,37.0,40.0,48.0,41.0,34,46,37,29,24,21,4,4
4,,50.0,16.0,15.0,48.0,49.0,45.0,49.0,45.0,52.0,44.0,34,49,19,15,28,20,6,4
5,,26.0,49.0,46.0,46.0,59.0,47.0,39.0,36.0,39.0,35.0,26,34,36,27,21,4,7,7
6,,47.0,50.0,46.0,41.0,36.0,33.0,43.0,44.0,45.0,36.0,37,25,35,25,19,21,7,5
7,,66.0,36.0,33.0,46.0,54.0,46.0,42.0,41.0,51.0,41.0,43,35,37,28,28,23,5,4
8,,29.0,60.0,56.0,50.0,47.0,41.0,40.0,49.0,54.0,43.0,34,29,26,23,25,20,8,7
9,,37.0,40.0,37.0,39.0,64.0,57.0,53.0,54.0,43.0,36.0,24,41,36,28,25,9,4,3
10,,52.0,52.0,48.0,44.0,59.0,44.0,43.0,47.0,54.0,45.0,36,24,37,27,24,18,9,7
11,,65.0,46.0,39.0,43.0,38.0,34.0,43.0,48.0,36.0,32.0,38,34,35,28,15,12,2,4
12,,18.0,46.0,43.0,35.0,61.0,49.0,42.0,45.0,57.0,46.0,42,45,36,26,23,18,14,10
13,,38.0,47.0,44.0,52.0,39.0,35.0,38.0,42.0,52.0,42.0,33,36,42,30,25,19,2,2
14,,57.0,50.0,46.0,47.0,56.0,46.0,41.0,51.0,47.0,38.0,40,41,35,28,27,11,9,6
15,,29.0,33.0,30.0,45.0,63.0,55.0,40.0,50.0,61.0,50.0,41,44,36,27,27,21,5,5
