,0
0,-0.451586270524118
1,1.00448390492294
2,-0.01647034771481564
3,-0.4902334064314571
4,0.2697102076727264
5,-0.2707956355999999
6,0.26971024051268905
7,-0.4615750041476662
8,0.9540067334817793
9,-0.20324818922165783
10,0.9638918445835982
11,-0.3419563132389091
12,-0.2536744518637551
13,0.6940884679775252
14,0.9540067334859561
15,-0.18710875979047709
16,-0.13554304388085725
17,0.5371350545900901
18,-0.5151447950142019
19,-0.36671116868374054
20,-0.4476436218515157
21,0.36625359631893345
22,-0.5866577321532733
23,-0.5277789280193192
24,-0.4412410271640992
25,-0.2663803057409808
26,-0.493352864385202
27,-0.5544378545090232
28,0.8699500776723814
29,-0.1621970935357289
30,0.012769731489367213
31,-0.46111970994232687
32,-0.4677825164944061
33,-0.34738230980630713
34,0.29212523561357917
35,0.1039609247206326
36,0.9540067334797123
37,-0.4322144867528791
38,-0.5515783193277777
39,-0.5703087947611852
40,-0.567639698620269
41,-0.43818284541091357
42,0.79796308697134
43,0.7979630869759942
44,0.6940884679419619
45,0.6940884679679902
46,-0.50017807826412
47,0.9540067334811624
48,-0.5151187698866244
49,0.2674223042251186
50,-0.46191318306283874
51,-0.03266720471241426
52,0.6984028812705944
53,-0.44367478425305396
54,-0.4881777793578196
55,-0.40447544691720033
56,-0.4901603294983302
57,1.0044839049212888
58,-0.47150499660585965
59,-0.631651774772777
60,-0.4642116491137521
61,-0.617069959368278
62,-0.5168233497587394
63,-0.6476131103507291
64,0.2697102733873603
65,-0.47743166530951864
66,-0.5096529138396375
67,-0.48214104884360864
68,0.6984028812744328
69,-0.548524631646185
70,-0.45382962380397435
71,-0.511344566897862
72,-0.5906997807803985
73,0.987182469049898
74,-0.04476855882922575
75,1.093875582589389
76,0.4161800482082128
77,-0.5254377543193914
78,0.3964372004996274
79,-0.5071633021752553
80,-0.3686937154204257
81,0.2674223044748014
82,0.9740661831541166
83,-0.588009840204041
84,-0.4468705964952178
85,-0.37280557965181793
86,-0.4730823525742527
87,0.9871824690500498
88,0.9638918445774945
89,-0.5857283665646009
90,-0.5305749654398001
91,-0.46317343207566736
92,-0.48305343822964264
93,-0.4656610721022439
94,-0.4622654662998294
95,-0.49266557263537797
96,-0.4995546637103901
97,-0.465810452895338
98,-0.40982701372247565
99,-0.44618165275240995
100,-0.4794173938401564
101,-0.5628705364168627
102,-0.447380705079422
103,-0.4763901847168866
104,-0.4996096370711896
105,-0.3037110397042945
106,-0.41310655130170676
107,-0.4782089687724546
108,-0.24381116123735788
109,-0.48574063872724466
110,-0.4678913846521106
111,-0.35148968285183274
112,0.6940884679384509
113,-0.5240143112364728
114,-0.4650331931538272
115,-0.32056092824504356
116,-0.38576091544532365
117,-0.6209428028751119
118,-0.509498796590549
119,-0.4590892208377734
120,-0.6287405010519096
121,-0.4311895144949903
122,0.6940884679782072
123,-0.574730663907098
124,-0.4485413776858188
125,-0.41715288016703855
126,-0.6283721764566956
127,-0.438622476959518
128,1.7752267293947064
129,-0.4900879041889834
130,-0.6467462037231541
131,1.7752267293978556
132,2.284746893421723
133,1.7775954292928042
134,1.7752267293947885
135,-0.4068421947532998
136,2.1824626403867153
137,2.119576248598084
138,1.7752267293938313
139,1.7752267293961992
140,-0.4796165499383881
141,-0.46007569342140564
142,1.775226729394259
143,-0.4371584299822454
144,-0.5110036117562785
145,-0.45422505376746203
146,-0.4204476749712869
147,-0.5557011098287886
148,0.537135053499271
149,-0.4243712943952803
150,0.6940884679546185
151,-0.5012433090611803
152,-0.5718856834540386
153,-0.35994476966849503
154,-0.5184507454432271
155,-0.4602111366853528
156,-0.4991084736405294
157,-0.45484281963625794
158,-0.5353378277323932
159,-0.4355254836663882
160,-0.4268820468912155
161,-0.5466594847515708
162,-0.6310557403087651
163,-0.6335413683196365
164,-0.5802249704015864
165,-0.5955196874021023
166,-0.4822944521044061
167,-0.644284396155691
168,-0.6335509615437253
169,-0.6368088996038924
170,-0.4842737105060328
171,-0.6040282100452345
172,-0.46008985247263584
173,-0.51515640274919
174,-0.5226649820263404
175,-0.5443945319073062
176,-0.5358991254605217
177,-0.5859494508905493
178,-0.5113535786319793
179,-0.5030365083378109
180,-0.47822511821352504
181,-0.4573159549262456
182,-0.5494697325547164
