,0,1,2,3,4,5,6,7,8,9,10,11
0,-24.790058,-176.70732,-33.720512,0.61811084,-17.831873,10.633763,15.357312,-0.78504056,-53.083992,4.265344,20.99369,1.9242858
1,1761.9099,63.410973,-7.778679,-36.48216,-9.413624,1.6610308,-4.00081,-30.001896,-12.797134,-4.2016387,-2.901054,5.275451
2,-33.840492,-95.57822,83.421745,-6.221372,-4.0554857,36.42207,-40.927643,-13.650891,-67.73579,-35.65956,17.15457,-47.484955
3,-53.50752,82.94652,-83.851395,-28.90148,-32.099785,-66.46558,42.00956,10.791138,-41.067932,0.97221106,34.789486,-33.935593
4,-36.236126,10.369061,-77.47633,83.77723,-8.692344,-29.006794,-52.45959,-71.609116,-10.432587,54.03704,-80.4948,-22.864824
5,-62.218098,78.55961,201.3317,-147.5812,31.800655,-26.670837,-87.771866,45.201523,-11.79763,-18.55988,-29.928614,-16.414392
6,-14.701187,-147.82347,-38.462353,77.340744,5.1624074,26.115002,-27.00623,-23.865005,33.39905,-9.644361,-2.637683,39.40246
7,-49.191845,129.2054,-157.5743,89.33985,-40.20518,-2.125759,49.279194,-22.154495,27.389158,-77.56471,16.209232,-5.0650883
8,-34.805347,-125.65803,-2.7468395,-47.682407,40.123386,-7.4173937,-21.279736,-19.829853,-18.067965,-35.722557,34.949093,21.167124
9,-56.28372,103.56989,-89.604126,4.5984983,-7.007152,-56.4491,30.669123,23.659895,-100.89051,-69.619545,31.294718,-84.35752
10,-62.54115,135.89384,-20.88317,-90.77094,11.039219,-44.356255,33.170135,-0.21545497,49.925995,-6.5847216,22.401834,-10.356338
11,-32.495613,-160.69356,-2.5519636,-69.08178,-69.81891,11.031282,62.832657,6.985172,-10.584561,-2.395778,-66.074486,9.144442
12,-25.876696,-146.4942,-3.9130054,8.722775,-58.876904,37.813164,23.290117,-5.3196554,-20.626717,26.231625,17.887167,-3.342271
13,-55.429,134.76535,-52.295593,-10.953979,0.68116784,-37.480003,6.6144834,-18.185461,56.474274,-48.906914,-7.544566,35.14707
14,-60.32567,82.81448,-15.562705,-125.83429,-39.092968,-61.875526,64.59338,-9.585234,84.33539,36.14712,-65.7195,-35.508892
15,-46.310474,26.62554,161.25838,-25.921238,-27.833672,23.532251,-103.52583,-18.047745,-0.21260387,29.181673,-7.523111,-38.235992
16,-27.772541,-37.759903,96.11735,9.286251,-83.08461,79.99655,-12.65517,-13.924653,30.352457,26.043695,-0.2625117,17.076918
17,-50.094917,90.68465,7.8052435,-29.756819,95.571,66.0034,39.993282,-63.943855,11.958586,141.17346,108.19939,-42.86413
18,-28.722992,-22.05599,69.12372,49.607906,-37.61139,201.59335,25.383112,-47.32792,88.3388,-123.321976,114.519,34.35974
